2022-08-30 20:33:38,462 | INFO | Starting autotrader at 1661906018.4627955
2022-08-30 20:33:38,462 | INFO | Starting autotrader at 1661906018.4627955
2022-08-30 20:33:43,793 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ETH-PERP'}
2022-08-30 20:33:43,793 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ETH-PERP'}
2022-08-30 20:33:43,793 | INFO | _connect called
2022-08-30 20:33:43,793 | INFO | _connect called
2022-08-30 20:33:46,876 | INFO | Subscribing to {'channel': 'ticker', 'market': 'CEL-PERP'}
2022-08-30 20:33:46,876 | INFO | Subscribing to {'channel': 'ticker', 'market': 'CEL-PERP'}
2022-08-30 20:33:59,158 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-08-30 20:33:59,158 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-08-30 20:34:01,190 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-08-30 20:34:01,190 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-08-30 20:34:49,301 | INFO | Starting autotrader at 1661906089.3011425
2022-08-30 20:34:49,301 | INFO | Starting autotrader at 1661906089.3011425
2022-08-30 20:34:54,273 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ETH-PERP'}
2022-08-30 20:34:54,273 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ETH-PERP'}
2022-08-30 20:34:54,273 | INFO | _connect called
2022-08-30 20:34:54,273 | INFO | _connect called
2022-09-01 17:45:09,479 | INFO | Starting autotrader at 1662068709.4792085
2022-09-01 17:45:09,479 | INFO | Starting autotrader at 1662068709.4792085
2022-09-01 17:45:16,229 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 17:45:16,229 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 17:45:16,229 | INFO | _connect called
2022-09-01 17:45:16,229 | INFO | _connect called
2022-09-01 18:13:48,283 | INFO | Starting autotrader at 1662070428.2831967
2022-09-01 18:13:48,283 | INFO | Starting autotrader at 1662070428.2831967
2022-09-01 18:13:54,100 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 18:13:54,100 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 18:13:54,101 | INFO | _connect called
2022-09-01 18:13:54,101 | INFO | _connect called
2022-09-01 18:15:28,445 | INFO | Starting autotrader at 1662070528.4455
2022-09-01 18:15:28,445 | INFO | Starting autotrader at 1662070528.4455
2022-09-01 18:15:34,848 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 18:15:34,848 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 18:15:34,849 | INFO | _connect called
2022-09-01 18:15:34,849 | INFO | _connect called
2022-09-01 18:16:44,529 | INFO | Starting autotrader at 1662070604.5290647
2022-09-01 18:16:44,529 | INFO | Starting autotrader at 1662070604.5290647
2022-09-01 18:16:50,728 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 18:16:50,728 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 18:16:50,728 | INFO | _connect called
2022-09-01 18:16:50,728 | INFO | _connect called
